"velo","horz_break","vert_break","spin_rate"
88.2,0.6956,-0.0903,2660
88.9,-1.2381,0.5485,1439
89.2,0.4603,-0.1896,2576
80.3,-1.0715,0.6702,1398
90,-1.0335,0.6559,1478
91.2,0.4028,0.1735,2700
95.7,-0.3751,1.1904,2317
85.8,0.8094,-0.1944,2690
87.7,0.5459,-0.2303,NA
97,-0.4439,1.4407,2300
89.5,0.7785,-0.035,NA
88.6,-0.9398,0.9011,1629
97.2,-0.3732,1.211,2250
90.7,-0.9166,0.8699,1659
89.4,-0.9191,0.9235,1597
87.5,0.805,-0.3005,2926
87.1,0.7352,-0.0685,2856
97,-0.4997,1.2653,2271
90.2,-1.2387,0.806,1695
88.9,0.2348,0.4151,NA
96.3,-0.3455,1.5544,2326
95.4,-0.5851,1.2391,2208
89.3,-0.856,1.0967,1657
95.2,-0.5436,1.4025,2237
87.2,0.7904,-0.2985,2765
88.2,0.625,-0.0357,2655
95.4,-0.6442,1.3172,2267
96.2,-0.5566,1.3267,2388
89.1,-1.0679,0.7308,1630
86.4,0.8062,-0.4771,2765
89.9,-0.7635,0.9902,1615
87.8,0.9057,-0.5505,2848
86.3,0.7858,-0.4383,2717
88.2,0.7091,-0.2402,2638
96.3,-0.6861,1.2806,2303
89.2,0.7148,0.0012,NA
97.8,-0.7566,1.5909,2372
89.1,-1.1485,0.7196,1682
96.9,-0.3718,1.2631,2218
95.5,-0.5953,1.3602,2201
96.8,-0.5267,1.2971,2310
90.5,-0.8286,0.9228,1596
98,-0.5009,1.5145,2363
89.9,-0.8785,0.8758,1592
94.9,-0.2609,1.4988,2182
96.5,-0.2133,1.3317,2388
89.2,-0.7105,0.8377,1533
87.2,0.8058,-0.28,2845
86.7,0.8301,-0.3452,2784
89.4,0.569,0.0266,NA
95.6,-0.5274,1.2419,2256
94.2,-0.525,1.3988,2347
94.9,-0.5061,1.5207,2341
88.4,0.955,-0.1946,2763
87.8,1.2957,-0.3508,2995
89.9,0.6105,-0.037,2817
89,-1.2524,0.7906,1589
86.9,0.7688,-0.2745,NA
90,0.8253,-0.1535,2763
89.7,-1.0964,0.6773,1613
90.3,-0.7946,1.0908,1677
90.9,-0.7711,1.1386,1725
96.3,-0.3048,1.3651,2379
91.1,0.6122,-0.0199,2788
96.7,-0.3428,1.5099,2391
86.7,0.5848,0.0432,NA
98,-0.2971,1.4388,2398
98.9,-0.6125,1.4029,2249
98.3,-0.3016,1.3989,2282
90.4,-0.8209,0.9347,1595
99.1,-0.3021,1.3352,2386
89.1,0.6717,-0.1171,2535
98,-0.3544,1.4649,2243
87.4,0.6904,-0.3229,2842
89.4,-1.0317,0.8373,1597
98.9,-0.5596,1.4843,2456
89.3,0.5902,-0.164,2799
