pitcher,p_hand,pitch_type,pitch_name,velocity,spin_rate,horz_break,vert_break,release_x,release_z,extension,plate_x,plate_z,vx0,vy0,vz0,ax,ay,az
453286,R,CH,Changeup,85.4,1426,-1.3769,0.7502,-3.5275,5.1725,6.416,-0.111,2.4396,10.8149,-123.9558,-1.6497,-16.3315,23.6025,-24.2855
453286,R,FC,Cutter,89.1,2559,-0.1877,0.7732,-3.6661,4.9974,6.112,1.9834,1.6904,14.1473,-129.0299,-3.6527,-4.8294,24.9933,-23.0717
448306,R,FT,2-Seam Fastball,88.3,2231,-1.215,0.2405,-3.1144,4.5372,6.652,-0.8622,2.5618,8.0872,-128.376,0.7954,-15.2547,26.8882,-29.857
607536,L,FT,2-Seam Fastball,90.9,2303,1.224,0.4964,1.8841,5.7023,6.349,0.7187,1.7531,-5.5474,-132.3109,-5.0734,15.5518,27.4429,-25.4903
607536,L,SL,Slider,87.2,2160,-0.1679,0.5616,1.818,5.7475,6.114,0.2752,3.2994,-3.3583,-126.9929,-0.9028,-1.1508,24.8249,-26.1681
453286,R,CH,Changeup,85.1,1425,-1.523,0.2096,-3.5498,5.2346,6.13,-0.8982,2.9621,9.1951,-123.5304,0.5782,-17.2847,24.0782,-30.3755
448306,R,KC,Knuckle Curve,77.1,2574,0.5517,-0.4995,-2.3014,5.9944,6.233,-0.8527,2.8413,2.0799,-112.2426,1.1581,4.2716,20.1833,-36.8078
448306,R,FF,4-Seam Fastball,89.7,2458,-0.4602,1.513,-2.5794,5.3669,6.893,0.6912,2.8279,9.1799,-130.4552,-3.5616,-7.337,28.374,-14.036
607536,L,FF,4-Seam Fastball,92.9,2243,0.7674,1.2003,1.4123,5.9517,6.469,-0.8724,2.4013,-7.5536,-135.0319,-5.969,11.0274,28.1195,-16.3422
448306,R,FC,Cutter,86.9,2292,0.2672,0.754,-2.1499,5.8208,6.81,0.2648,2.5523,5.2911,-126.7165,-3.3394,1.9839,23.097,-23.415
607536,L,FT,2-Seam Fastball,90.8,2187,1.4558,0.7659,1.7873,5.7323,6.269,1.3304,2.0174,-4.248,-132.1787,-5.0208,17.9184,28.0976,-22.3728
607536,L,SL,Slider,87.9,2251,-0.3384,0.7651,1.7323,5.6998,6.148,-1.0827,2.3716,-6.1078,-127.8808,-3.5529,-2.5356,24.5039,-23.3245
448306,R,CH,Changeup,83.1,1746,-1.2066,0.6672,-1.8612,5.9524,7.239,0.3955,1.2067,7.7517,-120.9518,-5.8988,-13.6889,22.0173,-24.4684
448306,R,CH,Changeup,81.4,1683,-1.155,0.817,-1.7905,6.0897,7.012,-1.6754,2.2555,2.5682,-118.6784,-3.7169,-11.6764,21.5816,-23.7399
607536,L,FT,2-Seam Fastball,89.4,2098,1.4121,0.3846,1.914,5.7107,6.339,1.1163,2.045,-4.9424,-130.0737,-3.8349,17.0551,27.282,-27.2218
607536,L,CU,Curveball,80.8,2277,-0.1885,-0.0673,1.8625,5.7478,6.187,-0.2119,2.6323,-4.2518,-117.4946,-0.1071,-0.8612,23.8908,-33.008
607536,L,FT,2-Seam Fastball,91.2,2089,1.3323,0.331,1.758,5.762,6.172,1.6688,2.3767,-3.0606,-132.7133,-3.3197,16.2971,28.4307,-27.8013
607536,L,CH,Changeup,84.9,1420,1.0037,0.5226,1.6024,6.0826,6.442,0.822,2.0579,-3.8538,-123.6692,-4.2064,11.0988,23.0394,-26.1819
607536,L,CH,Changeup,84,1383,1.0031,0.5438,1.7188,5.8811,6.141,-0.3914,1.9478,-6.8314,-122.1795,-3.7899,11.2906,23.0059,-26.252
607536,L,CH,Changeup,87.5,2092,1.2381,0.6615,1.7294,5.9488,6.233,1.0003,2.8273,-4.2963,-127.3805,-2.7547,14.3034,25.9849,-24.6577
453286,R,CH,Changeup,85.3,1334,-1.1133,0.4114,-3.4561,5.0429,6.4,-0.2124,2.9084,9.8634,-123.8427,0.4476,-13.3798,23.3651,-28.2022
453286,R,FF,4-Seam Fastball,96.7,2448,-0.6657,0.9301,-3.7161,4.7262,6.171,-0.1225,3.014,11.0421,-140.5218,-1.136,-11.1106,29.2081,-19.8273
448306,R,FT,2-Seam Fastball,89.9,2084,-1.3472,-0.0165,-2.8973,4.8541,6.716,-0.6877,2.2657,8.4328,-130.8049,-0.4469,-17.3917,25.3897,-32.4604
